searge,name,side,desc
func_70000_a,addServerStatsToSnooper,2,
func_70001_b,addServerTypeToSnooper,2,
func_70002_Q,isSnooperEnabled,2,Returns whether snooping is enabled or not.
func_70003_b,canCommandSenderUseCommand,2,Returns true if the command sender is allowed to use the given command.
func_70004_a,translateString,2,Translates and formats the given string key with the given arguments.
func_70005_c_,getCommandSenderName,2,"Gets the name of this command sender (usually username, but possibly ""Rcon"")"
func_70006_a,sendChatToPlayer,2,
func_70007_b,resetLog,2,Clears the RCon log
func_70008_c,getChatBuffer,2,
func_70011_f,getDistance,2,"Gets the distance to the position. Args: x, y, z"
func_70012_b,setLocationAndAngles,2,Sets the location and Yaw/Pitch of an entity in the world
func_70013_c,getBrightness,2,Gets how bright this entity is.
func_70014_b,writeEntityToNBT,2,(abstract) Protected helper method to write subclass entity data to NBT.
func_70015_d,setFire,2,"Sets entity to burn for x amount of seconds, cannot lower amount of existing fire."
func_70016_h,setVelocity,2,"Sets the velocity to the args. Args: x, y, z"
func_70017_D,doBlockCollisions,2,"Checks for block collisions, and calls the associated onBlockCollided method for the collided block."
func_70018_K,setBeenAttacked,2,Sets that this entity has been attacked.
func_70019_c,setEating,2,
func_70020_e,readFromNBT,2,Reads the entity from NBT (calls an abstract helper method to read specialized data)
func_70021_al,getParts,2,Return the Entity parts making up this Entity (currently only for dragons)
func_70022_Q,getEntityString,2,Returns the string that identifies this Entity's class
func_70023_ak,getEntityName,2,Gets the username of the entity.
func_70024_g,addVelocity,2,"Adds to the current velocity of the entity. Args: x, y, z"
func_70025_b,dropItem,2,"Drops an item stack at the entity's position. Args: itemID, count"
func_70026_G,isWet,2,Checks if this entity is either in water or on an open air block in rain (used in wolves).
func_70027_ad,isBurning,2,Returns true if the entity is on fire. Used by render to add the fire effect on rendering.
func_70028_i,isEntityEqual,2,Returns true if Entity argument is equal to this Entity
func_70029_a,setWorld,2,Sets the reference to the World object.
func_70030_z,onEntityUpdate,2,Gets called every tick from main Entity class
func_70031_b,setSprinting,2,Set sprinting switch for Entity.
func_70032_d,getDistanceToEntity,2,Returns the distance to the entity. Args: entity
func_70033_W,getYOffset,2,Returns the Y Offset of this entity.
func_70034_d,setHeadRotationYaw,2,Sets the head's yaw rotation of the entity.
func_70035_c,getLastActiveItems,2,
func_70036_a,playStepSound,2,"Plays step sound at given x, y, z for the entity"
func_70037_a,readEntityFromNBT,2,(abstract) Protected helper method to read subclass entity data from NBT.
func_70038_c,isOffsetPositionInLiquid,2,"Checks if the offset position from the entity's current position is inside of liquid. Args: x, y, z"
func_70039_c,addEntityID,2,adds the ID of this entity to the NBT given
func_70040_Z,getLookVec,2,returns a (normalized) vector of where this entity is looking
func_70041_e_,canTriggerWalking,2,returns if this entity triggers Block.onEntityWalking on the blocks they walk on. used for spiders and wolves to prevent them from trampling crops
func_70042_X,getMountedYOffset,2,Returns the Y offset from the entity's position for any entity riding this one.
func_70043_V,updateRiderPosition,2,
func_70044_A,setOnFireFromLava,2,Called whenever the entity is walking inside of lava.
func_70045_F,isImmuneToFire,2,
func_70046_E,getBoundingBox,2,returns the bounding box for this entity
func_70047_e,getEyeHeight,2,
func_70048_i,pushOutOfBlocks,2,"Adds velocity to push the entity out of blocks at the specified x, y, z position Args: x, y, z"
func_70049_a,newFloatNBTList,2,Returns a new NBTTagList filled with the specified floats
func_70050_g,setAir,2,
func_70051_ag,isSprinting,2,Get if the Entity is sprinting.
func_70052_a,setFlag,2,"Enable or disable a entity flag, see getEntityFlag to read the know flags."
func_70053_R,getShadowSize,2,
func_70054_a,dropItemWithOffset,2,"Drops an item stack with a specified y offset. Args: itemID, count, yOffset"
func_70055_a,isInsideOfMaterial,2,Checks if the current block the entity is within of the specified material type
func_70056_a,setPositionAndRotation2,2,"Sets the position and rotation. Only difference from the other one is no bounding on the rotation. Args: posX, posY, posZ, yaw, pitch"
func_70057_ab,performHurtAnimation,2,Setups the entity to do the hurt animation. Only used by packets in multiplayer.
func_70058_J,handleLavaMovement,2,Whether or not the current entity is in lava
func_70059_ac,updateCloak,2,
func_70060_a,moveFlying,2,Used in both water and by flying objects
func_70061_h,unmountEntity,2,Called when a player unounts an entity.
func_70062_b,setCurrentItemOrArmor,2,"Sets the held item, or an armor slot. Slot 0 is held item. Slot 1-4 is armor. Params: Item, slot"
func_70063_aa,setInPortal,2,Called by portal blocks when an entity is within it.
func_70064_a,updateFallState,2,"Takes in the distance the entity has fallen this tick and whether its on the ground to update the fall distance and deal fall damage if landing on the ground.  Args: distanceFallenThisTick, onGround"
func_70065_x,preparePlayerToSpawn,2,Keeps moving the entity up so it isn't colliding with blocks and other requirements for this entity to be spawned (only actually used on players though its also on Entity)
func_70066_B,extinguish,2,Removes fire from entity.
func_70067_L,canBeCollidedWith,2,Returns true if other Entities should be prevented from moving through this Entity.
func_70068_e,getDistanceSqToEntity,2,Returns the squared distance to the entity. Args: entity
func_70069_a,fall,2,Called when the mob is falling. Calculates and applies fall damage.
func_70070_b,getBrightnessForRender,2,
func_70071_h_,onUpdate,2,Called to update the entity's position/logic.
func_70072_I,handleWaterMovement,2,Returns if this entity is in water and will end up adding the waters velocity to the entity
func_70073_O,getTexture,2,Returns the texture's file path as a String.
func_70074_a,onKillEntity,2,This method gets called when the entity kills another one.
func_70075_an,canAttackWithItem,2,"If returns false, the item will not inflict any damage against entities."
func_70076_C,kill,2,sets the dead flag. Used when you fall off the bottom of the world.
func_70077_a,onStruckByLightning,2,Called when a lightning bolt hits the entity.
func_70078_a,mountEntity,2,"Called when a player mounts an entity. e.g. mounts a pig, mounts a boat."
func_70079_am,setRotationYawHead,2,
func_70080_a,setPositionAndRotation,2,"Sets the entity's position and rotation. Args: posX, posY, posZ, yaw, pitch"
